2000,15
2000,17
2001,18
2001,16
2002,19
2000,16
2001,17
2002,20
2002,21
2015,10
2015,12
2015,11
2015,13
2015,10
2015,14
2015,12
2015,11
2015,13
2015,12
2016,11
2016,13
2016,12
2016,14
2016,11
2016,15
2016,13
2016,12
2016,14
2016,13
2017,12
2017,14
2017,13
2017,15
2017,12
2017,16
2017,14
2017,13
2017,15
2017,14
2018,13
2018,15
2018,14
2018,16
2018,13
2018,17
2018,15
2018,14
2018,16
2018,15
2019,14
2019,16
2019,15
2019,17
2019,14
2019,18
2019,16
2019,15
2019,17
2019,16
2020,15
2020,17
2020,16
2020,18
2020,15
2020,19
2020,17
2020,16
2020,18
2020,17
2021,14
2021,16
2021,15
2021,17
2021,14
2021,18
2021,16
2021,15
2021,17
2021,16
2022,13
2022,15
2022,14
2022,16
2022,13
2022,17
2022,15
2022,14
2022,16
2022,15
2023,12
2023,14
2023,13
2023,15
2023,12
2023,16
2023,14
2023,13
2023,15
2023,14
2024,11
2024,13
2024,12
2024,14
2024,11
2024,15
2024,13
2024,12
2024,14
2024,13
2025,7
